0.227,0.736
0.944,0.878
0.792,0.586
0.723,0.617
0.950,0.816
0.720,0.572
0.795,0.554
0.778,0.584
0.696,0.710
0.989,0.962
0.512,1.010
0.467,0.941
0.757,0.606
0.422,1.003
0.197,0.741
0.718,0.668
0.224,0.774
0.974,0.798
0.730,0.588
0.741,0.683
0.781,0.735
0.725,0.651
0.741,0.594
0.483,0.902
0.764,0.628
0.734,0.641
0.415,0.969
1.018,0.884
0.846,0.608
0.940,0.875
0.305,0.745
0.760,0.565
0.854,0.652
0.955,0.848
0.709,0.732
0.957,0.828
0.416,0.927
0.823,0.610
0.449,1.004
0.182,0.740
0.269,0.763
0.825,0.655
0.973,0.769
1.048,0.821
0.473,1.004
0.798,0.604
0.987,0.822
0.229,0.806
0.659,0.611
0.466,0.846
0.946,0.827
0.739,0.646
0.821,0.655
0.454,1.028
0.965,0.837
0.746,0.580
0.417,0.884
0.265,0.805
0.284,0.824
0.962,0.779
0.657,0.715
1.006,0.823
0.982,0.764
0.241,0.813
0.229,0.751
0.416,1.001
0.451,0.896
0.472,0.988
0.960,0.849
0.449,1.001
0.481,1.001
0.388,0.944
0.471,0.989
0.967,0.852
0.801,0.668
0.978,0.806
0.948,0.796
0.797,0.615
0.778,0.670
0.702,0.599
0.705,0.634
0.759,0.592
0.865,0.625
0.913,0.829
0.778,0.590
0.449,0.910
0.794,0.633
0.814,0.670
0.937,0.812
0.785,0.637
0.265,0.851
0.796,0.639
0.259,0.781
0.251,0.788
0.867,0.616
0.216,0.771
0.792,0.583
0.713,0.645
0.357,0.967
0.748,0.600
0.442,1.051
0.698,0.644
0.246,0.785
0.731,0.581
0.701,0.623
0.683,0.603
0.218,0.678
0.993,0.845
0.234,0.788
0.724,0.633
0.761,0.679
0.446,0.927
1.049,0.832
0.557,0.956
0.785,0.645
0.895,0.822
0.703,0.615
0.837,0.570
0.694,0.666
0.734,0.666
0.653,0.628
0.712,0.606
0.902,0.818
0.631,0.681
0.948,0.894
0.775,0.600
0.754,0.666
0.516,0.878
0.501,0.965
0.983,0.884
0.274,0.758
0.912,0.816
0.956,0.862
0.266,0.837
0.513,1.051
0.400,1.038
0.437,0.953
0.202,0.714
0.430,0.952
0.490,0.923
0.746,0.671
0.267,0.782
0.418,1.020
0.453,0.872
0.803,0.654
0.737,0.581
0.442,0.964
0.215,0.769
0.774,0.639
0.310,0.873
0.766,0.720
0.451,0.968
0.475,0.942
0.792,0.650
0.850,0.647
0.789,0.603
0.289,0.794
1.001,0.807
0.625,0.616
0.436,0.996
0.970,0.770
0.950,0.861
0.889,0.608
0.756,0.660
0.555,0.988
0.264,0.743
0.234,0.819
0.759,0.619
0.978,0.845
0.715,0.625
0.711,0.667
0.720,0.604
0.938,0.767
0.945,0.820
0.769,0.614
0.993,0.869
0.689,0.663
0.732,0.690
0.229,0.757
0.721,0.648
0.985,0.819
0.969,0.791
0.746,0.597
0.231,0.777
0.843,0.647
0.722,0.688
0.925,0.773
0.990,0.851
0.982,0.834
0.684,0.729
0.249,0.818
0.524,1.012
0.724,0.660
0.672,0.734
0.529,0.977
0.951,0.826
0.789,0.652
0.490,0.965
0.266,0.764
0.790,0.559
0.190,0.801
0.256,0.799
0.393,0.959
0.722,0.652
0.769,0.572
0.238,0.748
0.727,0.678
0.468,0.912
0.520,0.959
0.891,0.592
0.745,0.654
0.513,0.919
0.792,0.553
0.977,0.780
0.680,0.635
0.848,0.624
0.760,0.593
0.839,0.625
0.231,0.848
0.798,0.613
0.665,0.601
0.716,0.662
0.755,0.621
0.447,1.003
0.862,0.676
0.268,0.785
0.725,0.641
0.992,0.783
0.467,0.945
0.485,0.935
0.951,0.825
0.752,0.675
0.750,0.718
0.296,0.770
0.819,0.592
0.760,0.622
0.919,0.850
0.757,0.496
0.738,0.629
0.798,0.611
0.520,1.011
0.725,0.577
0.732,0.578
0.455,1.082
0.241,0.748
0.211,0.771
0.722,0.653
0.717,0.702
0.298,0.778
0.840,0.643
0.465,1.016
0.791,0.673
0.475,0.976
0.693,0.659
0.787,0.599
0.682,0.712
0.646,0.654
0.739,0.586
0.704,0.607
0.473,1.026
0.205,0.791
0.720,0.696
0.466,0.982
0.541,0.967
0.217,0.814
0.938,0.819
0.245,0.858
0.722,0.599
0.266,0.762
0.946,0.851
0.207,0.791
0.260,0.800
0.411,0.991
0.991,0.838
0.810,0.655
0.541,0.992
0.787,0.622
0.488,0.986
0.798,0.665
0.749,0.668
0.854,0.631
0.263,0.743
0.914,0.856
0.810,0.654
0.751,0.702
0.782,0.654
0.799,0.594
0.238,0.788
0.984,0.790
0.869,0.627
0.248,0.763
0.739,0.672
0.248,0.878
0.440,1.025
1.006,0.872
0.436,0.975
0.399,0.864
0.988,0.844
0.711,0.605
1.004,0.830
0.774,0.631
0.671,0.681
0.760,0.596
0.698,0.547
1.025,0.828
0.712,0.712
0.134,0.748
0.811,0.613
0.678,0.621
0.748,0.572
0.186,0.737
0.919,0.827
0.923,0.804
0.473,0.984
0.208,0.791
0.451,1.001
0.939,0.815
0.681,0.673
0.218,0.750
0.760,0.614
0.981,0.931
0.943,0.787
0.776,0.647
0.745,0.615
0.240,0.830
0.801,0.605
0.213,0.776
0.987,0.775
0.700,0.629
1.025,0.861
0.931,0.773
0.949,0.802
0.510,0.975
1.012,0.785
0.945,0.865
0.763,0.650
0.465,0.948
0.936,0.818
0.478,0.936
0.474,0.930
0.961,0.791
0.722,0.581
0.248,0.757
0.450,0.980
0.443,0.994
0.695,0.668
0.935,0.875
0.475,0.938
0.744,0.645
0.429,0.948
0.464,0.956
0.742,0.637
0.894,0.851
0.224,0.735
0.242,0.751
0.954,0.873
0.984,0.861
0.722,0.663
0.901,0.827
0.998,0.787
1.003,0.827
0.715,0.666
0.733,0.639
0.937,0.791
0.521,1.058
0.730,0.593
0.696,0.641
0.207,0.756
0.486,0.960
0.220,0.818
0.740,0.626
0.976,0.848
0.228,0.767
1.033,0.813
0.751,0.633
0.711,0.601
0.766,0.590
0.994,0.923
0.713,0.630
0.800,0.627
0.387,0.968
0.727,0.660
0.434,0.960
0.795,0.686
0.744,0.664
0.282,0.795
0.893,0.898
0.453,0.960
0.498,0.960
0.776,0.581
0.459,0.981
0.420,1.006
0.980,0.801
0.248,0.802
0.740,0.615
0.807,0.669
1.020,0.874
0.674,0.620
0.707,0.583
0.204,0.769
0.936,0.887
0.784,0.593
0.441,1.014
0.420,0.955
0.403,0.979
0.242,0.795
0.176,0.763
0.683,0.607
0.167,0.727
0.723,0.728
0.195,0.732
0.695,0.653
0.998,0.764
0.973,0.845
0.725,0.600
0.746,0.566
0.457,0.980
0.814,0.613
0.924,0.768
0.512,0.965
0.680,0.601
0.227,0.824
0.981,0.891
0.780,0.658
0.778,0.601
0.720,0.689
0.952,0.728
0.449,0.965
0.441,0.996
0.247,0.781
0.802,0.661
0.710,0.696
0.812,0.601
0.198,0.804
0.731,0.624
0.287,0.700
0.278,0.776
0.821,0.566
0.654,0.585
0.210,0.781
0.736,0.684
0.276,0.788
0.927,0.864
0.975,0.802
0.380,0.969
0.749,0.560
0.794,0.596
0.984,0.806
0.280,0.800
0.639,0.620
0.756,0.629
0.182,0.768
0.311,0.753
0.965,0.806
0.178,0.763
0.325,0.801
0.783,0.632
0.501,1.005
0.228,0.750
1.048,0.777
0.995,0.850
0.457,0.939
0.778,0.563
0.210,0.786
0.938,0.855
0.750,0.606
1.036,0.837
0.995,0.879
0.693,0.682
1.000,0.794
0.950,0.882
0.261,0.731
0.716,0.676
0.695,0.664
0.471,1.036
0.263,0.755
0.735,0.622
0.759,0.688
0.498,0.965
0.792,0.661
0.497,1.025
0.218,0.790
0.246,0.757
0.810,0.717
0.289,0.790
0.220,0.705
0.263,0.839
0.756,0.564
0.745,0.681
0.745,0.643
0.981,0.785
0.439,1.013
0.991,0.842
1.011,0.817
0.394,0.972
0.448,1.042
0.743,0.693
1.005,0.811
0.658,0.668
1.005,0.789
0.845,0.835
0.997,0.773
0.741,0.653
0.975,0.874
0.518,1.020
0.743,0.627
0.248,0.781
0.786,0.615
0.743,0.637
0.655,0.631
0.273,0.782
0.476,0.998
0.282,0.818
0.537,1.013
0.445,0.921
0.517,0.991
0.399,0.984
1.006,0.794
0.292,0.867
0.228,0.761
0.427,0.926
0.486,1.025
0.187,0.804
0.448,1.083
0.424,0.960
0.433,0.940
0.922,0.774
0.771,0.551
0.703,0.633
0.280,0.748
0.281,0.785
0.211,0.831
0.847,0.550
0.715,0.623
0.246,0.723
0.741,0.597
0.760,0.643
0.762,0.644
0.218,0.786
0.926,0.799
1.034,0.763
0.736,0.604
0.723,0.732
1.043,0.825
0.763,0.602
0.740,0.615
0.953,0.862
0.961,0.777
0.225,0.764
0.689,0.614
0.969,0.815
0.984,0.867
0.434,0.943
0.462,0.987
0.777,0.645
0.974,0.839
